lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
,47,0.19993369281291962,1999.36083984375,0.19993369281291962,0.08375246822834015,nan,nan,nan,0.0,0.09876543283462524,2.4237451725639403e-05,9.366710401081946e-06,1.4870740415062755e-05,0.09876543283462524,0.20016418397426605,0.19993369281291962,7.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.2015848606824875,2015.8765869140625,0.2015848606824875,0.027588531374931335,nan,nan,nan,0.0,0.09876543283462524,2.8654359994106926e-05,9.506699825578835e-06,1.914765925903339e-05,0.09876543283462524
0.004,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,0.1994871348142624,1994.8939208984375,0.1994871348142624,0.0946299135684967,nan,nan,nan,0.0,0.1111111119389534,2.0404997485456988e-05,8.996842552733142e-06,1.1408155842218548e-05,0.1111111119389534,0.19969025254249573,0.1994871348142624,8.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.2009216547012329,2009.2432861328125,0.2009216547012329,0.04640347883105278,nan,nan,nan,0.0,0.1111111119389534,2.4047758415690623e-05,1.0039517292170785e-05,1.4008240214025136e-05,0.1111111119389534
0.004,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,0.19879300892353058,1987.951171875,0.19879300892353058,0.11153672635555267,nan,nan,nan,0.0,0.12345679104328156,1.6976677216007374e-05,7.894024747656658e-06,9.082652468350716e-06,0.12345679104328156,0.19906218349933624,0.19879300892353058,9.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.2004704624414444,2004.7294921875,0.2004704624414444,0.059155452996492386,nan,nan,nan,0.0,0.12345678359270096,2.026376205321867e-05,9.18105615710374e-06,1.1082706805609632e-05,0.12345678359270096
0.004,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,0.19804103672504425,1980.431884765625,0.19804103672504425,0.12979759275913239,nan,nan,nan,0.0,0.1358024626970291,1.5725934645161033e-05,8.095990779111162e-06,7.629943866049871e-06,0.1358024626970291,0.19834737479686737,0.19804103672504425,10.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.19997107982635498,1999.7357177734375,0.19997107982635498,0.07839491218328476,nan,nan,nan,0.0,0.1358024626970291,1.8091892343363725e-05,8.95979883352993e-06,9.13209169084439e-06,0.1358024626970291
0.004,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,0.19710107147693634,1971.0335693359375,0.19710107147693634,0.15269070863723755,nan,nan,nan,0.0,0.14814814925193787,1.5342733604484238e-05,7.753545105515514e-06,7.589188498968724e-06,0.14814814925193787,0.19747495651245117,0.19710107147693634,11.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,71,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.1987827569246292,1987.853515625,0.1987827569246292,0.09421199560165405,nan,nan,nan,0.0,0.14814816415309906,1.743218490446452e-05,8.98757662071148e-06,8.444608283753041e-06,0.14814816415309906
0.004,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,0.19670169055461884,1967.04248046875,0.19670169055461884,0.16242985427379608,nan,nan,nan,0.0,0.16049382090568542,1.5935511328279972e-05,8.252464795077685e-06,7.68304835219169e-06,0.16049382090568542,0.19693367183208466,0.19670169055461884,12.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,77,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.19831399619579315,1983.1676025390625,0.19831399619579315,0.10848995298147202,nan,nan,nan,0.0,0.16049383580684662,1.7264717826037668e-05,9.052087989402935e-06,8.212630746129435e-06,0.16049383580684662
0.004,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,0.19644956290721893,1964.5228271484375,0.19644956290721893,0.16860371828079224,nan,nan,nan,0.0,0.17283950746059418,1.586671896802727e-05,8.11440622783266e-06,7.752310921205208e-06,0.17283950746059418,0.19659480452537537,0.19644956290721893,13.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,13,,,,,,,,,,,,,
,83,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.19779406487941742,1977.9700927734375,0.19779406487941742,0.12143591046333313,nan,nan,nan,0.0,0.17283950746059418,1.7209016732522286e-05,9.024422070069704e-06,8.184595571947284e-06,0.17283950746059418
0.004,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,0.19567552208900452,1956.7838134765625,0.19567552208900452,0.187421515583992,nan,nan,nan,0.0,0.18518517911434174,1.5547298971796408e-05,7.821286999387667e-06,7.726011972408742e-06,0.18518517911434174,0.19595129787921906,0.19567552208900452,14.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,14,,,,,,,,,,,,,
,89,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1970914602279663,1970.9462890625,0.1970914602279663,0.1363590657711029,nan,nan,nan,0.0,0.18518517911434174,1.7079670215025544e-05,8.967168469098397e-06,8.112500836432446e-06,0.18518517911434174
0.004,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,0.19582150876522064,1958.246337890625,0.19582150876522064,0.18384131789207458,nan,nan,nan,0.0,0.1975308656692505,1.5823408830328844e-05,8.089245966402814e-06,7.734163773420732e-06,0.1975308656692505,0.19586044549942017,0.19582150876522064,15.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,15,,,,,,,,,,,,,
,95,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.19677317142486572,1967.7650146484375,0.19677317142486572,0.14775550365447998,nan,nan,nan,0.0,0.1975308656692505,1.6866801161086187e-05,8.749054359213915e-06,8.117746801872272e-06,0.1975308656692505
0.004,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,0.19509334862232208,1950.965576171875,0.19509334862232208,0.20160430669784546,nan,nan,nan,0.0,0.20987653732299805,1.527061795059126e-05,7.4838753789663315e-06,7.786740752635524e-06,0.20987653732299805,0.19532348215579987,0.19509334862232208,16.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,16,,,,,,,,,,,,,
,101,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.19660574197769165,1966.09326171875,0.19660574197769165,0.15230242908000946,nan,nan,nan,0.0,0.20987653732299805,1.699795939202886e-05,8.904051355784759e-06,8.0939071267494e-06,0.20987653732299805
0.004,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,0.1950082927942276,1950.11865234375,0.1950082927942276,0.20366047322750092,nan,nan,nan,0.0,0.2222222238779068,1.602191878191661e-05,7.913024091976695e-06,8.108893780445214e-06,0.2222222238779068,0.19510284066200256,0.1950082927942276,17.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,17,,,,,,,,,,,,,
,107,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.19621963798999786,1962.2337646484375,0.19621963798999786,0.16176281869411469,nan,nan,nan,0.0,0.2222222238779068,1.6817402865854092e-05,8.486600563628599e-06,8.330801392730791e-06,0.2222222238779068
0.004,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,0.19486460089683533,1948.68310546875,0.19486460089683533,0.20713567733764648,nan,nan,nan,0.0,0.23456789553165436,1.585553036420606e-05,7.711512807873078e-06,8.144017556332983e-06,0.23456789553165436,0.19493606686592102,0.19486460089683533,18.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,18,,,,,,,,,,,,,
