lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
,23,0.22968699038028717,2296.88134765625,0.22968699038028717,-0.016230907291173935,0.022712215781211853,-0.07213207334280014,nan,0.0,0.04938271641731262,2.3326845621340908e-05,9.995111213356722e-06,1.3331735317478888e-05,0.04938271641731262,0.239844411611557,0.22968699038028717,3.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.23519033193588257,2351.924072265625,0.23519033193588257,-0.12615756690502167,-0.09273949265480042,-0.18228153884410858,nan,0.0,0.04938271641731262,4.207358506391756e-05,1.1854433978442103e-05,3.0219147447496653e-05,0.04938271641731262
0.004,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.22820034623146057,2282.014892578125,0.22820034623146057,0.016773618757724762,0.03621964901685715,-0.043682895600795746,nan,0.0,0.06172839552164078,1.821017031033989e-05,1.1170875040988903e-05,7.039296178845689e-06,0.06172839552164078,0.2316935658454895,0.22820034623146057,4.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.23203258216381073,2320.340087890625,0.23203258216381073,-0.06745974719524384,-0.03720313683152199,-0.10596900433301926,nan,0.0,0.06172839179635048,2.36147316172719e-05,1.1444993106124457e-05,1.2169737601652741e-05,0.06172839179635048
0.004,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,0.22674483060836792,2267.458984375,0.22674483060836792,0.0448901504278183,0.06461367756128311,-0.013197868131101131,nan,0.0,0.07407407462596893,1.4738548088644166e-05,8.385504770558327e-06,6.353043772833189e-06,0.07407407462596893,0.22822944819927216,0.22674483060836792,5.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.22983630001544952,2298.377197265625,0.22983630001544952,-0.022714970633387566,-0.005504986736923456,-0.07376933842897415,nan,0.0,0.07407408207654953,1.8853877918445505e-05,1.0584477422526106e-05,8.2694014054141e-06,0.07407408207654953
0.004,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,0.2257820963859558,2257.833740234375,0.2257820963859558,0.06568672508001328,0.07985281944274902,0.0016678129322826862,nan,0.0,0.08641975373029709,1.452262222301215e-05,6.847310942248441e-06,7.675311280763708e-06,0.08641975373029709,0.22651630640029907,0.2257820963859558,6.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,6,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.22782891988754272,2278.30419921875,0.22782891988754272,0.013296033255755901,0.02403918094933033,-0.049786198884248734,nan,0.0,0.08641975373029709,1.7126281818491407e-05,9.143380339082796e-06,7.982903298398014e-06,0.08641975373029709
0.004,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,0.22502237558364868,2250.240478515625,0.22502237558364868,0.08327945321798325,0.09209977090358734,0.008649817667901516,nan,0.0,0.09876543283462524,1.67146554304054e-05,7.390857717837207e-06,9.323797712568194e-06,0.09876543283462524,0.22547055780887604,0.22502237558364868,7.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,7,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.22736646234989166,2273.681640625,0.22736646234989166,0.030556589365005493,0.039525121450424194,-0.03469614312052727,nan,0.0,0.09876543283462524,1.7213087630807422e-05,8.0288600656786e-06,9.184227565128822e-06,0.09876543283462524
0.004,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,0.2242738902568817,2242.7587890625,0.2242738902568817,0.09806052595376968,0.10773427784442902,0.022172853350639343,nan,0.0,0.1111111119389534,1.8048262063530274e-05,6.992966063990025e-06,1.1055297363782302e-05,0.1111111119389534,0.2246328890323639,0.2242738902568817,8.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,8,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.22633548080921173,2263.37548828125,0.22633548080921173,0.04907351732254028,0.055431265383958817,-0.020574424415826797,nan,0.0,0.1111111119389534,1.8690911019803025e-05,7.970697879500221e-06,1.0720214959292207e-05,0.1111111119389534
0.004,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,0.22360524535179138,2236.07568359375,0.22360524535179138,0.11164353787899017,0.11915281414985657,0.035054076462984085,nan,0.0,0.12345679104328156,1.9086624888586812e-05,6.558590030181222e-06,1.252803485840559e-05,0.12345679104328156,0.2239135503768921,0.22360524535179138,9.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,9,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.22570322453975677,2257.056640625,0.22570322453975677,0.06439322233200073,0.07054509967565536,-0.003684967989102006,nan,0.0,0.12345678359270096,1.9830828023259528e-05,7.692577128182165e-06,1.2138250895077363e-05,0.12345678359270096
0.004,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
